,Guest House,Place,room,bed,Condition,price,Travel Sustainable Level,Rating,Total Reviews
0,Brain Rooms & Suite,Pagani,Deluxe Double Room,1 large double bed,Very good,US$61,,8.3,532 reviews
1,Salamureci Camere,"Trapani City Centre, Trapani",Single Room,1 double bed,Fabulous,US$51,,8.8,"1,171 reviews"
2,Sogno Proibito,Meldola,King Room with Spa Bath,1 extra-large double bed,Superb,US$100,Travel Sustainable Level 2,9.3,95 reviews
3,Casa Blanca Matera,Matera,Deluxe Double or Twin Room,1 extra-large double bed,Superb,US$90,,9.3,648 reviews
4,Arena Suite,"Verona Historical Centre, Verona",Deluxe Double Room with Balcony,1 large double bed,Exceptional,US$148,Travel Sustainable Level 3,9.5,775 reviews
5,La Locanda degli Artisti,Medelana,Double Room with Pool View,1 large double bed,Fabulous,US$48,,8.9,83 reviews
6,Affittacamere Casa Dane',La Spezia,Double Room,1 large double bed,Fabulous,US$63,Travel Sustainable Level 2,8.6,"3,949 reviews"
7,Suite al mare,Taranto,King Room with Spa Bath,1 large double bed,Superb,US$91,Travel Sustainable Level 1,9.4,200 reviews
8,Colombo 32,La Spezia,Double Room with Balcony,1 large double bed,Fabulous,US$59,,8.6,442 reviews
9,Piazza Paradiso Accommodation,"Siena City Centre, Siena",Family Room (5 Adults),"3 beds (2 doubles, 1 sofa bed)",Fabulous,US$111,Travel Sustainable Level 2,8.9,928 reviews
10,ELICAL Exclusive Private Suites,"Trevi, Rome",Deluxe Triple Room,"2 beds (1 single, 1 extra-large double)",Superb,US$241,,9.3,339 reviews
11,Flora,Atrani,Double or Twin Room,1 large double bed,Fabulous,US$107,,8.7,168 reviews
12,"4 Suites "" unconventional living rooms ""","City Centre, Catania",Queen Room with Spa Bath,1 extra-large double bed,Exceptional,US$192,,9.5,156 reviews
13,Just Chilling Suite,"Rione Monti, Rome",Superior Double Room,1 large double bed,Fabulous,US$72,,8.9,825 reviews
14,Camere Pallotta,Macerata,Single Room with Private Bathroom,1 single bed,Very good,US$61,,8.0,528 reviews
15,Relais Monastero Santa Teresa - Albergo Diffuso,Nardò,Luxury Double Room with City View,1 large double bed,Fabulous,US$101,Travel Sustainable Level 2,8.8,357 reviews
16,Holidays Baia D'Amalfi,Amalfi,Double Room,1 large double bed,Very good,US$69,,8.5,"1,126 reviews"
17,Nikis Collection Navona,"Pantheon, Rome",Deluxe Double Room with Terrace,1 extra-large double bed,Superb,US$150,,9.0,746 reviews
18,Camere d'Aria,Locana,Economy Double Room,1 large double bed,Exceptional,US$100,Travel Sustainable Level 3,9.9,106 reviews
19,Nelli Rooms Via Veneto,La Spezia,Camera matrimoniale Superior con vasca,1 large double bed,Superb,US$90,Travel Sustainable Level 1,9.1,112 reviews
20,Palazzo al Carmine,Monreale,Deluxe Double Room,1 large double bed,Superb,US$67,Travel Sustainable Level 1,9.2,214 reviews
21,Antico Casale Caroli,Gattatico,Superior Double Room with Window,1 double bed,Superb,,Travel Sustainable Level 3,9.1,501 reviews
